raceId,raceName,course,distance,baba,place,barei,jouken
201705030702,3歳未勝利,ダ,1600,良,東京,3歳,未勝利
201705030703,3歳未勝利,ダ,1400,良,東京,3歳,未勝利
201705030704,3歳未勝利,芝,2400,良,東京,3歳,未勝利
201705030705,2歳新馬,芝,1600,良,東京,2歳,新馬
201705030706,3歳未勝利,ダ,1300,良,東京,3歳,未勝利
201705030707,3歳上500万下,ダ,1600,良,東京,3歳,500万
201705030708,第19回東京ジャンプS(J.G3),障,3110,良,東京,3歳,
201705030709,日野特別,ダ,1400,良,東京,3歳,500万
201705030710,八ヶ岳特別,芝,1800,良,東京,3歳,1000万
201705030711,夏至ステークス,ダ,1600,良,東京,3歳,1600万
201705030712,3歳上500万下,芝,1400,良,東京,3歳,500万
201705030801,3歳未勝利,ダ,1600,稍,東京,3歳,未勝利
201705030802,3歳未勝利,ダ,2100,稍,東京,3歳,未勝利
201705030803,3歳未勝利,ダ,1600,稍,東京,3歳,未勝利
201705030804,3歳未勝利,芝,1600,稍,東京,3歳,未勝利
201705030805,2歳新馬,芝,1800,稍,東京,2歳,新馬
201705030806,3歳未勝利,ダ,1400,稍,東京,3歳,未勝利
201705030807,3歳上500万下,芝,1600,稍,東京,3歳,500万
201705030808,3歳上500万下,芝,1800,稍,東京,3歳,500万
201705030809,稲城特別,芝,2400,稍,東京,3歳,500万
201705030810,清里特別,ダ,1400,稍,東京,3歳,1000万
201705030811,パラダイスステークス,芝,1400,稍,東京,3歳,
201705030812,3歳上500万下,ダ,1600,稍,東京,3歳,500万
201705040101,2歳未勝利,ダ,1300,不,東京,2歳,未勝利
201705040102,2歳未勝利,ダ,1600,不,東京,2歳,未勝利
20
